Gender,title
1,RT @CatherineBogart: BREAKING: women can genuinely like sports
1,RT @KariVanHorn: So we get this clear: WOMEN 👏 LIKE 👏 SPORTS 👏 AND 👏 OUR 👏 MONEY 👏 IS 👏 JUST 👏 AS 👏 GOOD 👏 SO 👏 MARKET 👏 TO 👏 US 👏 AND 👏 YO…
1,yesterday my mom hugged me and felt my sports bra and asked if I was binding bc it was so tight and it was so cute that she asked so nicely
1,"RT @petebetnow: Winneruk New Custom #football
""DOWNLOAD THE APP ""
GET £200 IN FREE BETS
Sign up for a £5 free Weekley Acca

Claim-&gt;https://…"
1,"RT @jamaicastar: #STARSports: I am not to blame - Stewart says she is not the reason Maverley president quit
https://t.co/0EAwd4rBIq"
1,Congratulations to Varsity and JV teams baaeball team who took on Bay Village last night . Varsity won 3 to 1 &amp; JV won 14 to 5.
1,It's championship week in lacrosse https://t.co/elLcSccK2t
1,RT @jeffpearlman: Nice work from @MirinFader on an important issue https://t.co/T8f9SWGVhY
1,RT @DrBrianMay: It's official today. This awful woman will bring back blood sports unless we mobilise and STOP HER. Bri https://t.co/zfdsKL…
1,"RT @mikeoncrime: .@Wpg_Goldeyes And for my side story today, here's a look at two big arms who could be @Wpg_Goldeyes difference-makers thi…"
1,RT @LeagueACS: Prime Minister pledges to hold a free vote on overturning the ban on #foxhunting - our statement here in full - https://t.co…
1,Sports Chic Fashion Editorial | Yen Magazine | ph: Chris Schoonover | model: Giannina Antonette https://t.co/kZeV7CrMiE
1,"#sports,#sportsbetting,#betting  Want to Turn £100 into £2,500 Before Xmas? withdraw your profits before Xmas… https://t.co/mK0a4EvbPh"
1,Sports Chic Fashion Editorial | Yen Magazine | ph: Chris Schoonover | model: Giannina Antonette https://t.co/KkSNEcinF4
1,RT @MrJohnNicolson: Utterly revolting. Zero policies for two weeks. Hides from press. Finally emerges to say she wants to bring back blood…
1,"RT @nytimes: A judge nullified the murder conviction of Aaron Hernandez, the ex-NFL star who died by suicide before his appeal https://t.co…"
