fouc,Fuck off you cunt
patd,Panic At The Disco
fawk,fuck
msgs,messages
nws,not work safe
pr0nz,porn
rpita,royal pain in the ass
nwy,no way
4geit,forget it
ukwim,you know what i mean
betch,Bitch
negl,not even going to lie
nmw,no matter what
wycm,Will You Call Me
nwj,No Way Jose
shure,sure
wadr,with all due respect
y/n,yes or no
im26c4u,I am too sexy for you
lmaonade,laughing my ass off
lcsnpc,low cost small notebook personal computer
ttyl,talk to you later
swak,sealed with a kiss
lltnt,live like theres no tomorrow
ttyw,talk to you whenever
aup,acceptable use policy
iaspfm,"i am sorry please forgive
me"
ttyt,talk to you tomorrow
onud,oh no you didn't
mwf,Married White Female
glnhf,Good Luck and Have Fun
sexilicious,Very Sexy
aatf,always and totally forever
rufkm,are you fucking kidding me
wntd,what not to do
idwtg,I don't want to go
ilysm,i love you so much
@,at
blk,black
wamh,with all my heart
isbya,im sorry but you asked
kthanxbi,"Okay, thanks. Bye."
blj,blowjob
omgny,oh my god no way
gmilf,grandmother i'd like to fuck
neway,anyway
gimmie,give me
iyf,In your face
gthyfah,go to hell you fucking asshole
nmu,"nothing much, you"
sosdd,"same old shit, different day"
idmhw,im doing my homework
l337,elite
iebkac,issue exists between keyboard and chair
voip,voice over ip
mw3,Modern Warfare 3
cmn,call me now
cml,call me later
iyc,if you can
bbilfm,be back in like five minutes
cmh,Call My House
hcihy,how can I help you
xyz,examine your zipper
mle,emily
g2g2tb,got to go to the bathroom
cmb,comment me back
cma,Cover My Ass
lol2u,Laugh out loud to you
roxxor,rock
pr0n,porn
yrusm,Why are you so mean
inbd,it's no big deal
cmw,cutting my wrists
pw,parent watching
cmt,comment
cms,content management system
nemore,Anymore
jalaudlm,just as long as you don't leave me
nwb,a new person
teotwawki,the end of the world as we know it
intpftpotm,I nominate this post for the post of the month
convo,conversation
lmamf,leave me alone mother fucker
fubalm,fucked up beyond all local maintenance
snafu,situation normal all fucked up
whaletail,thong
lmcao,laughing my crazy ass off
10x,thanks
rln,real life name
ilyvm,i love you very much
gfar2cu,go find a rock to crawl under
bwt,but when though
10q,thank you
nthn,nothing
feck,fuck
rtfq,Read The Fucking Question
urstpid,you are stupid
qtpi,cutie pie
irhy,i really hate you
fwob,friends with occasional benefits
b00t,boot
nei,Not enough information
tmi,too much information
nmwh,no matter what happens
asic,application specific integrated circuit
fud,"fear, uncertainty and doubt"
yctwuw,you can think what you want
fnci,fancy
h&k,hugs and kisses
kul,cool
ttys,talk to you soon
bnib,Brand new in Box
twttr,twitter
omgwtfit,"Oh my God, what the fuck is that"
iyq,I like you
jma,just messing around
4hoa,four horsemen of the apocalypse
fcuk,fuck
esadyffb,eat shit and die you fat fucking bastard
gng,going
glty,Good luck this year
j2f,just too funny
rlf,Real Life Friend
j2c,just too cute
rotflmfho,rolling on the floor laughing my fucking head off
culd,Could
wthay,who the hell are you
r-tard,retard
dayumm,damn
meh,whatever
srch,search
naww,no
nawt,not
w8ter,waiter
nomw,not on my watch
ykm,You're killing me
heyt,hate
oed,oxford english dictionary
jfgi,just fucking google it
rcsa,right click save as
vweg,very wicked evil grin
noyb,none of your business
sobs,"same, old, boring shit"
ssl,secure sockets layer
gthmf,go to hell mothafucka
gla,good luck all
k,ok
akp,Alexander King Project
glf,group looking for
roflolbag,Rolling On The Floor Laughing Out Loud Busting A Gut
ttyo,talk to you online
plomb,parents looking over my back
drm,dream
ttihlic,try to imagine how little i care
ttyn,talk to you never
xlnt,Excellent
rly,really
aka,also known as
gbioua,Go blow it out your ass
4king,fucking
glu,girl like us
4head,forehead
omgicfbi,Oh my god I can't fucking believe it
ywvm,you're welcome very much
sl4n,so long for now
ttt,to the top
hw,homework
wtfrudoin,what the fuck are you doing
rlg,really loud giggle
tlc,tender loving care
dy2h,damn you to hell
roffles,rolling on floor laughing
bro,brother
iwsul8r,I will see you later
fnny,funny
brk,Break
wieu2,What Is Everyone Up To
brh,be right here
tioli,take it or leave it
brd,bored
txs,thanks
9t,night
ily4e,i love you forever
dnd,Do Not Disturb
tn1,trust no-one
musiq,music
cyl8,see you later
ianalb,"I am not a lawyer, but.."
dno,don't know
shyat,shit
plox,please
svu,special victims unit
dnt,don't
dnw,Do not want
butterface,every thing is hot but her face
ur6c,you're sexy
dns,Domain Name System
ip,internet protocol
plom,parents looking over me
soobs,saggy boobs
sumthin',Something
m9,mine
m8,friend
yaqw,You are quite welcome
cml8r,call me later
pearoast,repost
notin,nothing
wthigo,what the hell is going on
musm,Miss You So Much
yesh,yes
comnt,comment
igkymfa,I'm gonna kick your mother fucking ass
less than three,love
tfta,thanks for the add
ofc,of course
m473z,friends
jmo,just my opinion
jml,just my luck
biatch,bitch
purty,pretty
audy,Are you done yet?
m473s,friends
marvy,marvelous
p4p,pic for pic
mf,motherfucker
ciwwaf,cute is what we aim for
mb,my bad
wyas,wow you are stupid
gafm,Get away from me
aiui,as I understand it
ilyb,i love you bitch
mk,mmm....ok
r8t,rate
mu,miss you
ere,here
tnf,That's Not Funny
dafs,do a fucking search
oftn,often
tnc,totally not cool
yup,yes
oftc,out for the count
qool,cool
fking,Fucking
wmd,Weapons Of Mass Destruction
wsf,we should fuck
ygg,you go girl
tat2,tattoo
yasfg,you are so fucking gay
indie,independent
roffle out loud,rolling on the floor laughing out loud
wmao,working my ass off
xtra,extra
imhbco,In my humble but correct opinion
uat,User Acceptance Testing
gtsy,good to see you
omfwtg,Oh My Fuck What The God?
lmaootf,Laughing my ass off on the floor
fuxored,Fucked
homie,good friend
wtfaud,what the fuck are you doing?
wtfmf,what the fuck mother fucker
iawy,I agree with you
icudk,in case you didn't know
plzkthx,"Please? OK, Thank you"
mml8r,meet me later
boati,Bend Over And Take It
hoas,Hang on a second
thwy,the hell with you!
rtfms,Read The Fucking Manual Stupid
ggpaw,gotta go parents are watching
meatspace,the real world
piihb,put it in her butt
hoh,head of household
ttfn,ta ta for now
f#cking,Fucking
uaaaa,Universal Association Against Acronym Abuse
sk8er,skater
ruok,are you ok?
lal,laughing a little
lam,leave a message
lan,local area network
obgjfioyo,old but good job finding it on your own
foshizzle,for sure
stfugbtw,shut the fuck up and get back to work
lak,love and kisses
bday,birthday
miid,my internet is down
bbml,be back much later
"cyl,a","see ya later, alligator"
wuwtta,what you want to talk about
pimpl,pissing in my pants laughing
wwgf,when we gonna fuck
gmta,great minds think alike
ova,over
mph,miles per hour
ianabs,I am not a brain surgeon
cmplte,complete
lat,laugh at that
lau,laugh at you
f&e,forever and ever
ugtr,you got that right
ind2p,I need to pee
c14n,canonicalization
wuwt,what's up with that
h82sit,hate to say it
ityltk,I thought you'd like to know
tmtmo,text me tomorrow
roflmbo,rolling on floor laughing my butt off
vff,Verry Fucking Funny
brbbrb,br right back bath room break
w2m,want to meet
typ,thank you partner
etla,extended three letter acronym
yasg,you are so gay
nty,no thank you
ttyiam,talk to you in a minute
swalk,sealed with a loving kiss
iwlu4e,I will love you for ever
imts,I meant to say
omfgsh,Oh My Fucking Gosh
wuv,love
cybseckz,cyber sex
lazor,laser
wuz,was
icydk,in csae you didn't know
imfao,In My Fucking Arrogant Opinion
fifo,"first in, first out"
rotfl,rolling on the floor laughing
hbic,head bitch in charge
nsfw,not safe for work
nsfu,no sex for you
wthru,Who the heck are you
fify,Fixed It For You
omgih,Oh My God In Heaven
ra3,Red Alert 3 (game)
cwmaos,coffee with milk and one sugar
pplz,people
s3x,Sex.
4evs,forever
4evr,for ever
jsut,just
imb,I am back
fiv,five
sase,self addressed stamped envelope
imh,I am here
iasb,i am so bored
ayagob,are you a girl or boy
yty,why thank you
imo,in my opinion
ilyaas,I Love You As A Sister
smtm,sometime
4eva,forever
404,Clueless
2morow,tomorrow
clt,Cool Like That
nmjc,"not much, just chillin'"
fofl,fall on the floor laughing
fio,figure it out
uom,You owe me
ttynw,talk to you next week
rbty,right back to you
mw2,modern warfare 2
roflmaool,Rolling on the floor laughing my ass off out loud
4get,forget
peoples,people
urmw,you are my world
twbc,that would be cool
rbtl,Read between the lines
wsb,wanna cyber?
owned,made to look bad
tthb,try to hurry back
mgmt,management
ihu,I hate you
wwy,where were you
iigh,alright
yrubm,why are you bugging me?
sosg,spouse over shoulder gone
ifttt,if this then that
bonr,boner
fi9,fine
wotw,word of the week
rockr,rocker
wshtf,when shit hits the fan
sl^t,Slut
wtf,what the fuck
f4f,female for female
wtmf,what the mother fuck
wthyi,what the hell you idiot
som1,someone
f4m,female for male
pleez,please
iwythmb,i want you to have my baby
lmmffao,laughing my mother fucking fat ass off
2dae,today
smexy,sexy
xgf,exgirlfriend
sfsg,So far so good
ufab,ugly fat ass bitch
ily2,i love you too
rlz,rules
apreci8,appreciate
tlyk,to let you know
brbn2gbr,"Be right back, I need to go to the bathroom"
lmfho,laughing my fucking head off
2day,today
nin,no its not
whit,with
ilbbaicnl,I like big butts and I can not lie
wuwh,Wish you were here
l2ms,laughing to myself
yafi,you're a fucking  idiot
gol,giggle out loud
ydtm,You're dead to me
smthin,something
goi,get over it
mmmkay,okay
gok,God Only Knows
wcutm,what can you tell me
tldr,"Too long, didn't read."
kuwl,cool
wgo,what's going on
dsu,don't screw up
goc,get on camera
gwytose,go waste your time on someone else
nib,new in box
l33t,elite
wu,what's up?
nite,night
nic,Network Interface Card
rl,real life
rm,room
gow,gears of war
gjsu,god just shut up
smc,suck my cock
smb,see my blog
2mmrw,tomorrow
wwtf,what was that for
sz,sorry
fren,friend
2tali,totally
fcfs,first come first served
nif,non internet friend
nts,note to self
rspct,respect
fave,favorite
ntt,need to talk
ntw,not to worry
ntk,Need to know
ntm,not to much
kiu,Keep it up
ntn,nothing
oicu,"oh, i see you!"
kit,keep in touch
lesbo,lesbian
2mozz,tomorrow
rombl,rolled off my bed laughing
dprsd,depressed
atb,all the best
dayum,damn
siuya,shove it up your ass
iss,im so sorry
ato,against the odds
atl,atlanta
atm,at the moment
r8,rate
iiuc,if I understand correctly
wwycm,when will you call me
wrud,what are you doing
atw,All the way
wruf,where are you from
dugt,did you get that?
atp,answer the phone
atq,answer the question
uraqt,you are a cutie
imnerho,In my not even remotely humble opinion
pbj,peanut butter and jelly
isg,I speak geek
sfam,Sister from another mother
d&c,divide and conquer
aty,according to you
shmily,see how much i love you
ofwg,old fat white guys
roflmmfao,rolling on the floor laughing my mother fucking ass off
wtfduw,What the fuck do you want?
syu,sex you up
champs,champions
ih8mls,I hate my little sister
omgzors,oh my god
xcept,except
syt,see you there
enit,isn't  it
loflmao,laying on floor laughing my ass off
wtfever,what the fuck ever
omgroflmao,oh my god roll on the floor laughing my ass off
kfc,kentucky fried chicken
wnkr,wanker
ttiuwiop,this thread is useless without pics
2k0,2000
mbhsm,My Boobs Hurt So Much
iab,I Am Bored
naw-t,Naughty
nip,nothing in particular
jja,just joking around
dycotfc,do you cyber on the first chat
reppin,representing
kyko,keep your knickers on
idonno,i do not know
sroucks,"that's cool, but it still sucks"
dogg,friend
widout,without
nvmd,nevermind
nttawwt,Not that there is anything wrong with that
bbsts,be back some time soon
gtgtb,got to go to bed
twoh,typing with one hand
platcs,parent looking at the computer screen
toh,typing one handed
h8t0r,hater
xit,Exit
dmwm,don't mess with me
tob,teacher over back
kewl,cool
hiya,hello
tku,thank you
slore,slutty whore
r8pist,rapist
nolm,No one loves me
cmliuw2,call me later if you want to
z'omg,Oh my God
p@w,parents are watching
kno,know
gtfbtw,get the fuck back to work
idts,i don't think so
tmoz,tomorrow
gfgi,go fucking google it
d00d,dude
bbrs,be back really soon
aicmfp,and I claim my five pounds
kiwf,Kill It With Fire
siao,school is almost over
wdywtd,what do you want to do
rofwl,Rolling on the floor while laughing
p3n1s,penis
pwcb,parents watching close by
khitbash,kick her in the box and shove her
iaw,In Another Window
phuk,fuck
po po,police
bebe,baby
idlu,i don't like you
4getu,forget you
potc,pirates of the caribbean
mbf,my best friend
eq2,Everquest2
idly,I don't like you
rofflecopters,rolling on the floor with laughter
dfwmt,Don't fucking waste my time
hayd,how are you doing
aiight,all right
rbay,right back at you
cuwul,catch up with you later
idli,I don't like it
ktc,kill the cat
goya,Get Off Your Ass
ifthtb,i find that hard to belive
tsnf,that's so not fair
lbr,little boy's room
fcking,fucking
ttly,totally
urstu,you are stupid
rofllh,rolling on the floor laughing like hell
me2,me too
rsn,real soon now
f'n,fucking
pbly,probably
idkwts,I don't know what to say
ydpos,you dumb piece of shit
bibifn,bye bye for now
adhd,Attention Deficit Hyperactivity Disorder
p/oed,pissed off
lbh,let's be honest
hago,have a good one
lbo,laughing butt off
shiz,shit
vgn,Video Game Nerd
piw,Parent is watching
cyu,see you
thn,then
fmltwia,fuck me like the whore I am
xpect,expect
wuwta,what do you want to talk about
hags,have a great summer
haxorz,hackers
w.b.s.,Write Back Soon
vajayjay,vagina
ogw,oh guess what
rhcp,red hot chilli peppers
tyl,text you later
ite,alright
lmfto,laughing my fuckin tits off
bsx,bisexual
roflmiaha,Rolling on the floor laughing myself into a heart attack
ooo,out of the office
doin,doing
sk8tr,skater
shyt,shit
u'd,you would
thankies,Thank You
ra2,red alert 2 (game)
ilulafklc,I love you like a fat kid loves cake.
tyt,take your time
rox,rocks
tinla,this is not legal advice
u'v,you have
tgfuap,thank god for unanswered prayers
xpt,except
tldnr,"too long, did not read"
xb36t,Xbox 360
h8t,hate
don,denial of normal
h80r,hater
udc,you don't care
dob,date of birth
3arc,Treyarch
seks,sex
doa,dead on arrival
m,am
lmho,laughing my heiny off
dod,Day of Defeat
nutin,nothing
wmyb,What Makes You Beautiful
iwfybo,i will fuck your brains out
gtgfn,got to go for now
nbdy,nobody
sagn,Spelling and Grammar Nazi
dos,denial of service
te,Team effort
un4rtun8ly,unfortunately
wwt,what was that
ex-gf,Ex-Girl Friend
idnwths,i do not want to have sex
dgypiab,don't get your panties in a bunch
t4m,Transgender for Male
no pro,no problem
mtfbwy,May the Force be with you
syiab,see you in a bit
0day,software illegally obtained before it was released
pns,penis
syiaf,see you in a few
shiat,Shit
wayut,what are you up to
dupe,duplicate
dillifc,do I look like I fucking care
sowi,sorry
g2cu,glad to see you
probz,probably
d8,date
l8s,later
ykisa,Your knight in shining armor
d2,Diablo 2
t4a,thanks for asking
liita,love is in the air
myspce,myspace
wtly,Welcome to last year
zex,sex
u'll,you will
smt,suck my tits
fukkin,fucking
hru,how are you
gokw,God Only Knows Why
occ,Occupation
w.e,Whatever
ocd,obsessive compulsive disorder
hrs,hours
giyf,google is your friend
ricl,rolling in chair laughing
oday,software illegally obtained before it was released
h4kz0r5,hackers
313373,elite
hre,here
sus,see you soon
gangsta,gangster
dn,don't know
dl,download
dm,deathmatch
tghig,thank god husband is gone
dk,don't know
dh,dickhead
rotglmao,rolling on the ground laughing my ass off
df,Dumb Fuck
dg,don't go
dd,don't die
db,database
dc,don't care
da,the
kyag,Kiss Your Ass Goodbye
rofpml,rolling on the floor pissing myself laughing
typo,typing mistake
wuza,what's up
gl hf,"good luck, have fun"
dw,don't worry
dt,double team
alryt,alright
dp,display picture
qotd,quote of the day
twss,That's what she said
bau,back at you
kcco,keep calm chive on
t3h,the
emm,email me
b00n,new person
emo,emotional
twsy,That was so yeterday
bbl8a,Be Back Later
wthaydwmgf,what the hell are you doing with my girlfriend
jcath,Just chilling at the house
baf,bring a friend
dgara,don't give a rats ass
bae,before anyone else
bab,Big ass Boobs
emp,eat my pussy
tker,team killer
ih8p,I hate parents
tbfh,to be fucking honest
sux,sucks
effing,Fucking
bah,I don't really care
bai,Bye
wygam,When you get a minute
bf's,boyfriend's
ybs,you'll be sorry
shizzle,shit
ayst,are you still there
vbg,very big grin
w2ho,want to hang out
